Conversation_ID,Message,Label
conv_49,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_50,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_51,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_52,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_53,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_54,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_55,That was the dumbest thing I've ever read. Learn to think before you type.,Potential Cyberbullying
conv_56,That was the dumbest thing I've ever read. Learn to think before you type.,Potential Cyberbullying
conv_57,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_58,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_59,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_60,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_61,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_62,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_63,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_64,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_65,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_66,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_67,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_68,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_69,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_70,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_71,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_72,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_73,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_74,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_75,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_76,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_77,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_78,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_79,"Great point! I hadn't considered that before, thanks for bringing it up.",No Cyberbullying
conv_80,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_81,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_82,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_83,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_84,That was the dumbest thing I've ever read. Learn to think before you type.,Potential Cyberbullying
conv_85,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_86,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_87,That was the dumbest thing I've ever read. Learn to think before you type.,Potential Cyberbullying
conv_88,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_89,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_90,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_91,Can you provide more details on your point? I'm interested to understand better.,No Cyberbullying
conv_92,Let's agree to disagree on this. Everyone has their own viewpoint.,No Cyberbullying
conv_93,"Thanks for sharing your thoughts! I see it differently, but I appreciate your perspective.",No Cyberbullying
conv_94,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_95,"I think you might have misunderstood what I wrote, let's try to clarify things.",No Cyberbullying
conv_96,Why are you even trying? You're just embarrassing yourself.,Potential Cyberbullying
conv_97,"Do us all a favor and delete your account, you're a joke.",Potential Cyberbullying
conv_98,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
conv_99,"Just stop talking, you make me sick.",Potential Cyberbullying
conv_100,Nobody likes you. Why do you keep posting here?,Potential Cyberbullying
