Statement,Category
"You're too skinny, you need to eat more.",Body Shaming
"You're too fat, you need to lose weight.",Body Shaming
You should be more confident in your skin.,Body Shaming
"He's poor, he must be lazy.",Socioeconomic Discrimination
"She's rich, she must be spoiled.",Socioeconomic Discrimination
"He's from a wealthy family, he's got it easy.",Socioeconomic Discrimination
"She's working class, she's probably not very intelligent.",Socioeconomic Discrimination
They're just trying to get a handout.,Socioeconomic Discrimination
"He's in a wheelchair, he can't do anything.",Disability Stereotype
"She's blind, she must be helpless.",Disability Stereotype
"They should just stay home, they're not going to be able to do anything.",Disability Stereotype
All politicians are corrupt.,General Stereotype
"Men are from Mars, women are from Venus.",Gender Stereotype
They're all the same.,General Stereotype
